"","County","Office","Candidate","Votes"
"1","Adams","Governor","write-in ","0"
"2","Adams","Governor","Marty Riske & Joshua Voytek","33"
"3","Adams","Governor","Marvin E Nelson  & Joan Heckaman","135"
"4","Adams","Governor","Doug  Burgum  & Brent Sanford","1049"
"5","Adams","Governor","TOTALS","1217"
"6","Barnes","Governor","write-in ","5"
"7","Barnes","Governor","Marty Riske & Joshua Voytek","188"
"8","Barnes","Governor","Marvin E Nelson  & Joan Heckaman","917"
"9","Barnes","Governor","Doug  Burgum  & Brent Sanford","4217"
"10","Barnes","Governor","TOTALS","5327"
"11","Benson","Governor","write-in ","3"
"12","Benson","Governor","Marty Riske & Joshua Voytek","78"
"13","Benson","Governor","Marvin E Nelson  & Joan Heckaman","817"
"14","Benson","Governor","Doug  Burgum  & Brent Sanford","1109"
"15","Benson","Governor","TOTALS","2007"
"16","Billings","Governor","write-in ","0"
"17","Billings","Governor","Marty Riske & Joshua Voytek","22"
"18","Billings","Governor","Marvin E Nelson  & Joan Heckaman","48"
"19","Billings","Governor","Doug  Burgum  & Brent Sanford","537"
"20","Billings","Governor","TOTALS","607"
"21","Bottineau","Governor","write-in ","7"
"22","Bottineau","Governor","Marty Riske & Joshua Voytek","101"
"23","Bottineau","Governor","Marvin E Nelson  & Joan Heckaman","595"
"24","Bottineau","Governor","Doug  Burgum  & Brent Sanford","2768"
"25","Bottineau","Governor","TOTALS","3471"
"26","Bowman","Governor","write-in ","1"
"27","Bowman","Governor","Marty Riske & Joshua Voytek","36"
"28","Bowman","Governor","Marvin E Nelson  & Joan Heckaman","178"
"29","Bowman","Governor","Doug  Burgum  & Brent Sanford","1577"
"30","Bowman","Governor","TOTALS","1792"
"31","Burke","Governor","write-in ","4"
"32","Burke","Governor","Marty Riske & Joshua Voytek","15"
"33","Burke","Governor","Marvin E Nelson  & Joan Heckaman","122"
"34","Burke","Governor","Doug  Burgum  & Brent Sanford","905"
"35","Burke","Governor","TOTALS","1046"
"36","Burleigh","Governor","write-in ","149"
"37","Burleigh","Governor","Marty Riske & Joshua Voytek","1632"
"38","Burleigh","Governor","Marvin E Nelson  & Joan Heckaman","7821"
"39","Burleigh","Governor","Doug  Burgum  & Brent Sanford","37790"
"40","Burleigh","Governor","TOTALS","47392"
"41","Cass","Governor","write-in ","162"
"42","Cass","Governor","Marty Riske & Joshua Voytek","3721"
"43","Cass","Governor","Marvin E Nelson  & Joan Heckaman","18559"
"44","Cass","Governor","Doug  Burgum  & Brent Sanford","57024"
"45","Cass","Governor","TOTALS","79466"
"46","Cavalier","Governor","write-in ","5"
"47","Cavalier","Governor","Marty Riske & Joshua Voytek","37"
"48","Cavalier","Governor","Marvin E Nelson  & Joan Heckaman","374"
"49","Cavalier","Governor","Doug  Burgum  & Brent Sanford","1598"
"50","Cavalier","Governor","TOTALS","2014"
"51","Dickey","Governor","write-in ","1"
"52","Dickey","Governor","Marty Riske & Joshua Voytek","55"
"53","Dickey","Governor","Marvin E Nelson  & Joan Heckaman","404"
"54","Dickey","Governor","Doug  Burgum  & Brent Sanford","1945"
"55","Dickey","Governor","TOTALS","2405"
"56","Divide","Governor","write-in ","3"
"57","Divide","Governor","Marty Riske & Joshua Voytek","38"
"58","Divide","Governor","Marvin E Nelson  & Joan Heckaman","232"
"59","Divide","Governor","Doug  Burgum  & Brent Sanford","939"
"60","Divide","Governor","TOTALS","1212"
"61","Dunn","Governor","write-in ","2"
"62","Dunn","Governor","Marty Riske & Joshua Voytek","52"
"63","Dunn","Governor","Marvin E Nelson  & Joan Heckaman","302"
"64","Dunn","Governor","Doug  Burgum  & Brent Sanford","1860"
"65","Dunn","Governor","TOTALS","2216"
"66","Eddy","Governor","write-in ","3"
"67","Eddy","Governor","Marty Riske & Joshua Voytek","28"
"68","Eddy","Governor","Marvin E Nelson  & Joan Heckaman","489"
"69","Eddy","Governor","Doug  Burgum  & Brent Sanford","716"
"70","Eddy","Governor","TOTALS","1236"
"71","Emmons","Governor","write-in ","1"
"72","Emmons","Governor","Marty Riske & Joshua Voytek","49"
"73","Emmons","Governor","Marvin E Nelson  & Joan Heckaman","185"
"74","Emmons","Governor","Doug  Burgum  & Brent Sanford","1738"
"75","Emmons","Governor","TOTALS","1973"
"76","Foster","Governor","write-in ","2"
"77","Foster","Governor","Marty Riske & Joshua Voytek","53"
"78","Foster","Governor","Marvin E Nelson  & Joan Heckaman","286"
"79","Foster","Governor","Doug  Burgum  & Brent Sanford","1397"
"80","Foster","Governor","TOTALS","1738"
"81","Golden Valley","Governor","write-in ","2"
"82","Golden Valley","Governor","Marty Riske & Joshua Voytek","26"
"83","Golden Valley","Governor","Marvin E Nelson  & Joan Heckaman","128"
"84","Golden Valley","Governor","Doug  Burgum  & Brent Sanford","795"
"85","Golden Valley","Governor","TOTALS","951"
"86","Grand Forks","Governor","write-in ","35"
"87","Grand Forks","Governor","Marty Riske & Joshua Voytek","1337"
"88","Grand Forks","Governor","Marvin E Nelson  & Joan Heckaman","7392"
"89","Grand Forks","Governor","Doug  Burgum  & Brent Sanford","20458"
"90","Grand Forks","Governor","TOTALS","29222"
"91","Grant","Governor","write-in ","2"
"92","Grant","Governor","Marty Riske & Joshua Voytek","31"
"93","Grant","Governor","Marvin E Nelson  & Joan Heckaman","152"
"94","Grant","Governor","Doug  Burgum  & Brent Sanford","1209"
"95","Grant","Governor","TOTALS","1394"
"96","Griggs","Governor","write-in ","1"
"97","Griggs","Governor","Marty Riske & Joshua Voytek","33"
"98","Griggs","Governor","Marvin E Nelson  & Joan Heckaman","278"
"99","Griggs","Governor","Doug  Burgum  & Brent Sanford","961"
"100","Griggs","Governor","TOTALS","1273"
"101","Hettinger","Governor","write-in ","1"
"102","Hettinger","Governor","Marty Riske & Joshua Voytek","39"
"103","Hettinger","Governor","Marvin E Nelson  & Joan Heckaman","143"
"104","Hettinger","Governor","Doug  Burgum  & Brent Sanford","1104"
"105","Hettinger","Governor","TOTALS","1287"
"106","Kidder","Governor","write-in ","0"
"107","Kidder","Governor","Marty Riske & Joshua Voytek","40"
"108","Kidder","Governor","Marvin E Nelson  & Joan Heckaman","178"
"109","Kidder","Governor","Doug  Burgum  & Brent Sanford","1167"
"110","Kidder","Governor","TOTALS","1385"
"111","LaMoure","Governor","write-in ","0"
"112","LaMoure","Governor","Marty Riske & Joshua Voytek","49"
"113","LaMoure","Governor","Marvin E Nelson  & Joan Heckaman","368"
"114","LaMoure","Governor","Doug  Burgum  & Brent Sanford","1748"
"115","LaMoure","Governor","TOTALS","2165"
"116","Logan","Governor","write-in ","2"
"117","Logan","Governor","Marty Riske & Joshua Voytek","28"
"118","Logan","Governor","Marvin E Nelson  & Joan Heckaman","96"
"119","Logan","Governor","Doug  Burgum  & Brent Sanford","964"
"120","Logan","Governor","TOTALS","1090"
"121","McHenry","Governor","write-in ","9"
"122","McHenry","Governor","Marty Riske & Joshua Voytek","82"
"123","McHenry","Governor","Marvin E Nelson  & Joan Heckaman","427"
"124","McHenry","Governor","Doug  Burgum  & Brent Sanford","2335"
"125","McHenry","Governor","TOTALS","2853"
"126","McIntosh","Governor","write-in ","4"
"127","McIntosh","Governor","Marty Riske & Joshua Voytek","28"
"128","McIntosh","Governor","Marvin E Nelson  & Joan Heckaman","174"
"129","McIntosh","Governor","Doug  Burgum  & Brent Sanford","1253"
"130","McIntosh","Governor","TOTALS","1459"
"131","McKenzie","Governor","write-in ","7"
"132","McKenzie","Governor","Marty Riske & Joshua Voytek","135"
"133","McKenzie","Governor","Marvin E Nelson  & Joan Heckaman","563"
"134","McKenzie","Governor","Doug  Burgum  & Brent Sanford","3889"
"135","McKenzie","Governor","TOTALS","4594"
"136","McLean","Governor","write-in ","12"
"137","McLean","Governor","Marty Riske & Joshua Voytek","141"
"138","McLean","Governor","Marvin E Nelson  & Joan Heckaman","918"
