county,office,district,party,candidate,votes
Adams,Agriculture Commissioner,,DEM,Roger Johnson,418
Adams,Agriculture Commissioner,,REP,Doug Goehring,343
Adams,Attorney General,,DEM,Bill Brudvik,390
Adams,Attorney General,,REP,Wayne Stenehjem,351
Adams,C 1: This constitutional measure would amend section 16 of Article XI of the North Dakota Constitution,,,No,170
Adams,C 1: This constitutional measure would amend section 16 of Article XI of the North Dakota Constitution,,,Yes,594
Adams,C 2: This constitutional measure would amend certain sections and repeal other sections of Article XII of the North Dakota Constitution,,,No,211
Adams,C 2: This constitutional measure would amend certain sections and repeal other sections of Article XII of the North Dakota Constitution,,,Yes,526
Adams,Justice of the Supreme Court,,NON,Dale Sandstrom,738
Adams,Public Service Commissioner,,DEM,Cheryl Bergian,391
Adams,Public Service Commissioner,,REP,Tony Clark,337
Adams,Secretary of State,,DEM,Kristin Hedger,383
Adams,Secretary of State,,REP,Alvin A (Al) Jaeger,352
Adams,State House Legislative,39,REP,"David ""Skip"" Drovdal",288
Adams,State House Legislative,39,REP,Keith Kempenich,327
Adams,State Senate Legislative District 39,,REP,Bill L Bowman,347
Adams,Tax Commissioner,,DEM,Brent Edison,394
Adams,Tax Commissioner,,REP,Cory Fong,337
Adams,U.S. House,1,DEM,Earl Pomeroy,440
Adams,U.S. House,1,REP,Matt Mechtel,326
Adams,U.S. Senate,,DEM,Kent Conrad,442
Adams,U.S. Senate,,REP,Dwight Grotberg,332
Barnes,Agriculture Commissioner,,DEM,Roger Johnson,1743
Barnes,Agriculture Commissioner,,REP,Doug Goehring,927
Barnes,Attorney General,,DEM,Bill Brudvik,1672
Barnes,Attorney General,,REP,Wayne Stenehjem,944
Barnes,C 1: This constitutional measure would amend section 16 of Article XI of the North Dakota Constitution,,,No,798
Barnes,C 1: This constitutional measure would amend section 16 of Article XI of the North Dakota Constitution,,,Yes,1883
Barnes,C 2: This constitutional measure would amend certain sections and repeal other sections of Article XII of the North Dakota Constitution,,,No,828
Barnes,C 2: This constitutional measure would amend certain sections and repeal other sections of Article XII of the North Dakota Constitution,,,Yes,1793
Barnes,Justice of the Supreme Court,,NON,Dale Sandstrom,2497
Barnes,Public Service Commissioner,,DEM,Cheryl Bergian,1680
Barnes,Public Service Commissioner,,REP,Tony Clark,916
Barnes,Secretary of State,,DEM,Kristin Hedger,1679
Barnes,Secretary of State,,REP,Alvin A (Al) Jaeger,938
Barnes,Tax Commissioner,,DEM,Brent Edison,1690
Barnes,Tax Commissioner,,REP,Cory Fong,922
Barnes,U.S. House,1,DEM,Earl Pomeroy,1820
Barnes,U.S. House,1,REP,Matt Mechtel,921
Barnes,U.S. Senate,,DEM,Kent Conrad,1840
Barnes,U.S. Senate,,REP,Dwight Grotberg,946
Benson,Agriculture Commissioner,,DEM,Roger Johnson,593
Benson,Agriculture Commissioner,,REP,Doug Goehring,231
Benson,Attorney General,,DEM,Bill Brudvik,539
Benson,Attorney General,,REP,Wayne Stenehjem,234
Benson,C 1: This constitutional measure would amend section 16 of Article XI of the North Dakota Constitution,,,No,201
Benson,C 1: This constitutional measure would amend section 16 of Article XI of the North Dakota Constitution,,,Yes,588
Benson,C 2: This constitutional measure would amend certain sections and repeal other sections of Article XII of the North Dakota Constitution,,,No,246
Benson,C 2: This constitutional measure would amend certain sections and repeal other sections of Article XII of the North Dakota Constitution,,,Yes,538
Benson,Justice of the Supreme Court,,NON,Dale Sandstrom,737
Benson,Public Service Commissioner,,DEM,Cheryl Bergian,553
Benson,Public Service Commissioner,,REP,Tony Clark,233
Benson,Secretary of State,,DEM,Kristin Hedger,551
Benson,Secretary of State,,REP,Alvin A (Al) Jaeger,232
Benson,State House Legislative,23,DEM,Ben Vig,114
Benson,State House Legislative,23,DEM,Edward R Brownshield,142
Benson,State House Legislative,23,REP,Don Vigesaa,66
Benson,State House Legislative,23,REP,William (Bill) Devlin,62
Benson,State House Legislative,7,DEM,Arlo E Schmidt,429
Benson,State House Legislative,7,DEM,Marie J Marshall,311
Benson,State House Legislative,7,REP,Jon Nelson,142
Benson,State House Legislative,7,REP,Tom Bodine,136
Benson,State Senate Legislative District 23,,DEM,Joan Heckaman,164
Benson,State Senate Legislative District 23,,REP,Frank E Walker,53
Benson,State Senate Legislative District 23,,REP,Preston Meier,28
Benson,State Senate Legislative District 7,,DEM,Ryan M Taylor,426
Benson,State Senate Legislative District 7,,REP,Dick Anderson,153
Benson,Tax Commissioner,,DEM,Brent Edison,560
Benson,Tax Commissioner,,REP,Cory Fong,230
Benson,U.S. House,1,DEM,Earl Pomeroy,605
Benson,U.S. House,1,REP,Matt Mechtel,230
Benson,U.S. Senate,,DEM,Kent Conrad,617
Benson,U.S. Senate,,REP,Dwight Grotberg,237
Billings,Agriculture Commissioner,,DEM,Roger Johnson,55
Billings,Agriculture Commissioner,,REP,Doug Goehring,104
Billings,Attorney General,,DEM,Bill Brudvik,53
