county,office,district,party,candidate,votes
Adams,Agriculture Commissioner,,DEM,Ryan Taylor,143
Adams,Agriculture Commissioner,,DEM,write-in,0
Adams,Agriculture Commissioner,,REP,Doug Goehring,363
Adams,Agriculture Commissioner,,REP,write-in,0
Adams,Attorney General,,DEM,Kiara Kraus-Parr,133
Adams,Attorney General,,DEM,write-in,0
Adams,Attorney General,,REP,Wayne Stenehjem,367
Adams,Attorney General,,REP,write-in,0
Adams,Constitutional Measure No. 1 Relating to the adjustment of deadlines for initiated measure petitions,,,No,200
Adams,Constitutional Measure No. 1 Relating to the adjustment of deadlines for initiated measure petitions,,,Yes,271
Adams,Council Member Hettinger,,NON,Curt Drolc,259
Adams,Council Member Hettinger,,NON,Darin Seamands,282
Adams,Council Member Hettinger,,NON,write-in,7
Adams,County Auditor/Treasurer Adams,,NON,Patricia (Pat) J Carroll,514
Adams,County Auditor/Treasurer Adams,,NON,write-in,6
Adams,County Commissioner at Large Adams,,NON,Chuck Christman,502
Adams,County Commissioner at Large Adams,,NON,write-in,12
Adams,County Official Newspaper Adams,,NON,Adams County Record,491
Adams,County Recorder Adams,,NON,Ginger Dangerud,525
Adams,County Recorder Adams,,NON,write-in,1
Adams,County Sheriff Adams,,NON,"Rachelle ""Rockie"" Schumacher",143
Adams,County Sheriff Adams,,NON,Travis Collins,390
Adams,County Sheriff Adams,,NON,write-in,1
Adams,County State's Attorney Adams,,NON,Aaron Roseland,456
Adams,County State's Attorney Adams,,NON,write-in,13
Adams,Justice of the Supreme Court,,NON,Gerald W VandeWalle,478
Adams,Justice of the Supreme Court,,NON,write-in,0
Adams,Mayor Hettinger,,NON,Richard Wyman,299
Adams,Mayor Hettinger,,NON,write-in,8
Adams,Park Board Member Hettinger Park,,NON,Benjamin Geaumont,140
Adams,Park Board Member Hettinger Park,,NON,Chris Parnow,208
Adams,Park Board Member Hettinger Park,,NON,Delores Galbreath,174
Adams,Park Board Member Hettinger Park,,NON,Kathy Jahner,258
Adams,Park Board Member Hettinger Park,,NON,Theo Schalesky,99
Adams,Park Board Member Hettinger Park,,NON,write-in,3
Adams,Public Service Commissioner,,DEM,Todd Reisenauer,136
Adams,Public Service Commissioner,,DEM,write-in,0
Adams,Public Service Commissioner,,REP,Brian P Kalk,357
Adams,Public Service Commissioner,,REP,write-in,0
Adams,Public Service Commissioner Unexpired 2-Year Term,,DEM,Tyler Axness,132
Adams,Public Service Commissioner Unexpired 2-Year Term,,DEM,write-in,0
Adams,Public Service Commissioner Unexpired 2-Year Term,,REP,Julie Fedorchak,354
Adams,Public Service Commissioner Unexpired 2-Year Term,,REP,write-in,0
Adams,School Board Member-City Position Hettinger School,,NON,write-in,157
Adams,School Board Member-Rural Position Hettinger School,,NON,Mike Johnson,407
Adams,School Board Member-Rural Position Hettinger School,,NON,write-in,16
Adams,Secretary of State,,DEM,April Fairfield,135
Adams,Secretary of State,,DEM,write-in,0
Adams,Secretary of State,,LIB,Roland Riemers,6
Adams,Secretary of State,,LIB,write-in,0
Adams,Secretary of State,,REP,Alvin A (Al) Jaeger,364
Adams,Secretary of State,,REP,write-in,0
Adams,State House,39,DEM,Greg Tank,116
Adams,State House,39,DEM,Maddison Voigt,118
Adams,State House,39,DEM,write-in,0
Adams,State House,39,REP,Denton B Zubke,286
Adams,State House,39,REP,Keith Kempenich,341
Adams,State House,39,REP,write-in,0
Adams,State Senate,39,DEM,Stephanie L Pretzer,140
Adams,State Senate,39,DEM,write-in,0
Adams,State Senate,39,REP,Bill L Bowman,352
Adams,State Senate,39,REP,write-in,2
Adams,Tax Commissioner,,DEM,Jason Astrup,136
Adams,Tax Commissioner,,DEM,write-in,0
Adams,Tax Commissioner,,LIB,Anthony Mangnall,6
Adams,Tax Commissioner,,LIB,write-in,0
Adams,Tax Commissioner,,REP,Ryan Rauschenberger,347
Adams,Tax Commissioner,,REP,write-in,0
Adams,U.S. House,1,DEM,George Sinner,143
Adams,U.S. House,1,DEM,write-in,0
Adams,U.S. House,1,LIB,"Robert J ""Jack"" Seaman",6
Adams,U.S. House,1,LIB,write-in,0
Adams,U.S. House,1,REP,Kevin Cramer,371
Adams,U.S. House,1,REP,write-in,2
Barnes,Agriculture Commissioner,,DEM,Ryan Taylor,714
Barnes,Agriculture Commissioner,,DEM,write-in,0
Barnes,Agriculture Commissioner,,REP,Doug Goehring,862
Barnes,Agriculture Commissioner,,REP,write-in,1
Barnes,Attorney General,,DEM,Kiara Kraus-Parr,666
Barnes,Attorney General,,DEM,write-in,1
Barnes,Attorney General,,REP,Wayne Stenehjem,878
Barnes,Attorney General,,REP,write-in,0
Barnes,Commissioner Valley City,,NON,Duane (Dewey) Magnuson,867
Barnes,Commissioner Valley City,,NON,Gary D Schlagel,620
Barnes,Commissioner Valley City,,NON,Matt Pedersen,780
Barnes,Commissioner Valley City,,NON,write-in,26
Barnes,Constitutional Measure No. 1 Relating to the adjustment of deadlines for initiated measure petitions,,,No,706
Barnes,Constitutional Measure No. 1 Relating to the adjustment of deadlines for initiated measure petitions,,,Yes,867
Barnes,County Auditor Barnes,,NON,Beth M Didier,1521
Barnes,County Auditor Barnes,,NON,write-in,6
Barnes,County Commissioner Barnes - District 2,,NON,James (Mike) Metcalf,164
Barnes,County Commissioner Barnes - District 2,,NON,Phil Leitner,134
Barnes,County Commissioner Barnes - District 2,,NON,Shawn Olauson,65
Barnes,County Commissioner Barnes - District 2,,NON,write-in,0
Barnes,County Commissioner Barnes - District 3,,NON,Bill Carlblom,154
Barnes,County Commissioner Barnes - District 3,,NON,Ryan Mathias,125
Barnes,County Commissioner Barnes - District 3,,NON,write-in,1
Barnes,County Commissioner Barnes - District 4,,NON,Rodger Berntson,282
Barnes,County Commissioner Barnes - District 4,,NON,write-in,13
Barnes,County Official Newspaper Barnes,,NON,The Litchville Bulletin,346
Barnes,County Official Newspaper Barnes,,NON,The Valley City Times-Record,1309
Barnes,County Recorder Barnes,,NON,Jody Pfaff,1514
Barnes,County Recorder Barnes,,NON,write-in,1
Barnes,County Sheriff Barnes,,NON,Randy McClaflin,1514
Barnes,County Sheriff Barnes,,NON,write-in,38
Barnes,County State's Attorney Barnes,,NON,Carl L Martineck,1463
Barnes,County State's Attorney Barnes,,NON,write-in,6
Barnes,County Treasurer Barnes,,NON,Vicki L Zinck,1530
Barnes,County Treasurer Barnes,,NON,write-in,14
Barnes,Judge of the District Court No. 4 Unexpired 2-Year Term Southeast,,NON,James D Hovey,1408
Barnes,Judge of the District Court No. 4 Unexpired 2-Year Term Southeast,,NON,write-in,2
Barnes,Justice of the Supreme Court,,NON,Gerald W VandeWalle,1414
Barnes,Justice of the Supreme Court,,NON,write-in,4
Barnes,Mayor Valley City,,NON,Jeffrey L Edwards,582
Barnes,Mayor Valley City,,NON,Robert J Werkhoven,722
Barnes,Mayor Valley City,,NON,write-in,6
Barnes,Park Board Member Valley City Park,,NON,Michael Lentz,982
Barnes,Park Board Member Valley City Park,,NON,Susan Kringlie,1020
Barnes,Park Board Member Valley City Park,,NON,William (Buff) Murray,919
Barnes,Park Board Member Valley City Park,,NON,write-in,16
Barnes,Public Service Commissioner,,DEM,Todd Reisenauer,681
Barnes,Public Service Commissioner,,DEM,write-in,0
Barnes,Public Service Commissioner,,REP,Brian P Kalk,866
Barnes,Public Service Commissioner,,REP,write-in,0
Barnes,Public Service Commissioner Unexpired 2-Year Term,,DEM,Tyler Axness,677
Barnes,Public Service Commissioner Unexpired 2-Year Term,,DEM,write-in,0
Barnes,Public Service Commissioner Unexpired 2-Year Term,,REP,Julie Fedorchak,847
Barnes,Public Service Commissioner Unexpired 2-Year Term,,REP,write-in,0
Barnes,Secretary of State,,DEM,April Fairfield,689
Barnes,Secretary of State,,DEM,write-in,0
Barnes,Secretary of State,,LIB,Roland Riemers,28
Barnes,Secretary of State,,LIB,write-in,0
Barnes,Secretary of State,,REP,Alvin A (Al) Jaeger,871
Barnes,Secretary of State,,REP,write-in,2
Barnes,Tax Commissioner,,DEM,Jason Astrup,678
Barnes,Tax Commissioner,,DEM,write-in,2
Barnes,Tax Commissioner,,LIB,Anthony Mangnall,28
Barnes,Tax Commissioner,,LIB,write-in,0
Barnes,Tax Commissioner,,REP,Ryan Rauschenberger,838
Barnes,Tax Commissioner,,REP,write-in,3
Barnes,U.S. House,1,DEM,George Sinner,727
Barnes,U.S. House,1,DEM,write-in,1
Barnes,U.S. House,1,LIB,"Robert J ""Jack"" Seaman",29
Barnes,U.S. House,1,LIB,write-in,0
Barnes,U.S. House,1,REP,Kevin Cramer,883
Barnes,U.S. House,1,REP,write-in,2
Benson,Agriculture Commissioner,,DEM,Ryan Taylor,457
Benson,Agriculture Commissioner,,DEM,write-in,2
Benson,Agriculture Commissioner,,REP,Doug Goehring,336
Benson,Agriculture Commissioner,,REP,write-in,1
Benson,Attorney General,,DEM,Kiara Kraus-Parr,407
Benson,Attorney General,,DEM,write-in,3
Benson,Attorney General,,REP,Wayne Stenehjem,340
Benson,Attorney General,,REP,write-in,0
Benson,Constitutional Measure No. 1 Relating to the adjustment of deadlines for initiated measure petitions,,,No,366
Benson,Constitutional Measure No. 1 Relating to the adjustment of deadlines for initiated measure petitions,,,Yes,449
Benson,County Auditor/Treasurer Benson,,NON,Bonnie (Howard) Erickson,811
Benson,County Auditor/Treasurer Benson,,NON,write-in,9
Benson,County Clerk of District Court Benson,,NON,Lana K Johnson,783
Benson,County Clerk of District Court Benson,,NON,write-in,10
Benson,County Commissioner Benson - District 1,,NON,Lowell Haagenson,746
Benson,County Commissioner Benson - District 1,,NON,write-in,27
Benson,County Commissioner Benson - District 3,,NON,Doris M Griffin,429
Benson,County Commissioner Benson - District 3,,NON,Jason Knatterud,404
Benson,County Commissioner Benson - District 3,,NON,write-in,3
Benson,County Commissioner Benson - District 5,,NON,Michael N Steffan,738
Benson,County Commissioner Benson - District 5,,NON,write-in,15
Benson,County Official Newspaper Benson,,NON,Benson County Farmers Press,787
Benson,County Recorder Benson,,NON,Rhoda Pfeifer,796
Benson,County Recorder Benson,,NON,write-in,2
Benson,County Sheriff Benson,,NON,Leon L LaRoque Sr.,188
Benson,County Sheriff Benson,,NON,Linda Doornbos,102
Benson,County Sheriff Benson,,NON,Steven J Rohrer,617
Benson,County Sheriff Benson,,NON,write-in,0
Benson,County State's Attorney Benson,,NON,James P Wang,733
Benson,County State's Attorney Benson,,NON,write-in,34
Benson,"Director, Garrison Diversion Conservancy Benson",,NON,David B Johnson,742
Benson,"Director, Garrison Diversion Conservancy Benson",,NON,write-in,13
Benson,Increase in Existing Emergency Services Communiciation (9-1-1) Fee Benson,,,No,286
Benson,Increase in Existing Emergency Services Communiciation (9-1-1) Fee Benson,,,Yes,583
Benson,Judge of the District Court No. 3 Northeast,,NON,Michael G Sturdevant,731
Benson,Judge of the District Court No. 3 Northeast,,NON,write-in,1
