county,office,district,party,candidate,votes
Adams,City Measure 1 Hettinger,,,No,20
Adams,City Measure 1 Hettinger,,,Yes,335
Adams,Constitutional Measure No. 1: Legislative Assembly Appointments.,,,No,258
Adams,Constitutional Measure No. 1: Legislative Assembly Appointments.,,,Yes,451
Adams,Council Member Hettinger,,NON,Kim Markegard,286
Adams,Council Member Hettinger,,NON,Suzie Reuther,296
Adams,Council Member Hettinger,,NON,write-in,11
Adams,County Commissioner Adams,,NON,Anthony Larson,425
Adams,County Commissioner Adams,,NON,Gene Seamands,397
Adams,County Commissioner Adams,,NON,Kathy L Vliem,548
Adams,County Commissioner Adams,,NON,write-in,2
Adams,"Director, Southwest Water Authority Adams",,NON,Jonathon Eaton,653
Adams,"Director, Southwest Water Authority Adams",,NON,write-in,5
Adams,Governor and Lt. Governor,,DEM,Ryan M Taylor & Ellen Chaffee,214
Adams,Governor and Lt. Governor,,DEM,write-in,0
Adams,Governor and Lt. Governor,,LIB,Roland Riemers,0
Adams,Governor and Lt. Governor,,LIB,write-in,0
Adams,Governor and Lt. Governor,,REP,Jack Dalrymple & Drew Wrigley,495
Adams,Governor and Lt. Governor,,REP,write-in,0
Adams,Governor and Lt. Governor Constitution,,CON,write-in,0
Adams,Initiated Constitutional Measure No. 2: Relating to Elimination of Property Taxes and Replacement of Lost Revenue.,,,No,694
Adams,Initiated Constitutional Measure No. 2: Relating to Elimination of Property Taxes and Replacement of Lost Revenue.,,,Yes,89
Adams,Initiated Constitutional Measure No. 3: Relating to Government Prohibited from Burdening the Exercise of Religious Liberty.,,,No,468
Adams,Initiated Constitutional Measure No. 3: Relating to Government Prohibited from Burdening the Exercise of Religious Liberty.,,,Yes,286
Adams,Insurance Commissioner,,DEM,Tom Potter,202
Adams,Insurance Commissioner,,DEM,write-in,0
Adams,Insurance Commissioner,,LIB,write-in,0
Adams,Insurance Commissioner,,REP,Adam Hamm,477
Adams,Insurance Commissioner,,REP,write-in,0
Adams,Insurance Commissioner Constitution,,CON,write-in,0
Adams,Judge of the District Court No. 1 Southwest,,NON,Zane Anderson,661
Adams,Judge of the District Court No. 1 Southwest,,NON,write-in,4
Adams,Judge of the District Court No. 3 Southwest,,NON,Dann Greenwood,347
Adams,Judge of the District Court No. 3 Southwest,,NON,Kevin McCabe,120
Adams,Judge of the District Court No. 3 Southwest,,NON,Tom M Henning,162
Adams,Judge of the District Court No. 3 Southwest,,NON,write-in,0
Adams,Justice of the Supreme Court,,NON,Daniel J Crothers,498
Adams,Justice of the Supreme Court,,NON,write-in,2
Adams,Park Board Commissioner Hettinger Park,,NON,write-in,90
Adams,Public Service Commissioner,,DEM,Brad Crabtree,208
Adams,Public Service Commissioner,,DEM,write-in,0
Adams,Public Service Commissioner,,LIB,Joshua Voytek,0
Adams,Public Service Commissioner,,LIB,write-in,0
Adams,Public Service Commissioner,,REP,Randy Christmann,481
Adams,Public Service Commissioner,,REP,write-in,0
Adams,Public Service Commissioner Constitution,,CON,write-in,0
Adams,Referendum Measure No. 4: Relating to University of North Dakota Athletic Nickname and Logo.,,,No,297
Adams,Referendum Measure No. 4: Relating to University of North Dakota Athletic Nickname and Logo.,,,Yes,455
Adams,Representative in Congress Constitution,,CON,write-in,0
Adams,School Board Member Hettinger School,,NON,Rhonda Knutson,585
Adams,School Board Member Hettinger School,,NON,write-in,11
Adams,State Auditor,,DEM,Scot Kelsh,206
Adams,State Auditor,,DEM,write-in,0
Adams,State Auditor,,LIB,write-in,0
Adams,State Auditor,,REP,Robert R (Bob) Peterson,473
Adams,State Auditor,,REP,write-in,1
Adams,State Auditor Constitution,,CON,write-in,0
Adams,State Treasurer,,DEM,Ross Mushik,203
Adams,State Treasurer,,DEM,write-in,0
Adams,State Treasurer,,LIB,write-in,0
Adams,State Treasurer,,REP,Kelly Schmidt,476
Adams,State Treasurer,,REP,write-in,0
Adams,State Treasurer Constitution,,CON,write-in,0
Adams,Superintendent of Public Instruction,,NON,Kirsten Baesler,230
Adams,Superintendent of Public Instruction,,NON,Max Laird,122
Adams,Superintendent of Public Instruction,,NON,Tracy Potter,195
Adams,Superintendent of Public Instruction,,NON,write-in,1
Adams,U.S. House,1,DEM,Pam Gulleson,204
Adams,U.S. House,1,DEM,write-in,0
Adams,U.S. House,1,LIB,Eric Olson,0
Adams,U.S. House,1,LIB,write-in,0
Adams,U.S. House,1,REP,Brian P Kalk,146
Adams,U.S. House,1,REP,Kevin Cramer,355
Adams,U.S. House,1,REP,write-in,0
