county,office,district,party,candidate,votes
Adams,C 1: Oil tax trust fund,,,No,748
Adams,C 1: Oil tax trust fund,,,Yes,483
Adams,Governor and Lt. Governor,,,DuWayne Hendrickson & Dana Brandenburg,34
Adams,Governor and Lt. Governor,,,John Hoeven & Jack Dalrymple,989
Adams,Governor and Lt. Governor,,,Tim Mathern & Merle Boucher,266
Adams,Insurance Commissioner,,DEM,Jasper Schneider,527
Adams,Insurance Commissioner,,REP,Adam Hamm,692
Adams,Judgeship Number 4 Southwest Judicial District,,,William A Herauf,1075
Adams,Justice of the Supreme Court,,,Mary Maring,1075
Adams,Justice of the Supreme Court Unexpired 4-year term,,,Daniel J Crothers,1057
Adams,President and Vice President,,,BALDWIN and CASTLE,13
Adams,President and Vice President,,,BARR and ROOT,6
Adams,President and Vice President,,,MCCAIN and PALIN,788
Adams,President and Vice President,,,NADER and CAMEJO,29
Adams,President and Vice President,,,OBAMA and BIDEN,435
Adams,Public Service Commissioner,,DEM,Cheryl Bergian,538
Adams,Public Service Commissioner,,REP,Brian Kalk,665
Adams,S 2: State corporate and state income tax rates,,,No,812
Adams,S 2: State corporate and state income tax rates,,,Yes,416
Adams,S 3: Tobacco use prevention and control program,,,No,664
Adams,S 3: Tobacco use prevention and control program,,,Yes,565
Adams,S 4: Workforce Safety and Insurance agency administration regulation,,,No,559
Adams,S 4: Workforce Safety and Insurance agency administration regulation,,,Yes,642
Adams,State Auditor,,DEM,Daryl Splichal,364
Adams,State Auditor,,REP,Robert R (Bob) Peterson,866
Adams,State Treasurer,,DEM,Mitch Vance,387
Adams,State Treasurer,,REP,Kelly L Schmidt,814
Adams,Superintendent of Public Instruction,,,Max L Laird,575
Adams,Superintendent of Public Instruction,,,Wayne G Sanstead,634
Adams,U.S. House,1,DEM,Earl Pomeroy,691
Adams,U.S. House,1,REP,Duane Sand,575
Barnes,C 1: Oil tax trust fund,,,No,4056
Barnes,C 1: Oil tax trust fund,,,Yes,1486
Barnes,Governor and Lt. Governor,,,DuWayne Hendrickson & Dana Brandenburg,133
Barnes,Governor and Lt. Governor,,,John Hoeven & Jack Dalrymple,4187
Barnes,Governor and Lt. Governor,,,Tim Mathern & Merle Boucher,1384
Barnes,Insurance Commissioner,,DEM,Jasper Schneider,2846
Barnes,Insurance Commissioner,,REP,Adam Hamm,2608
Barnes,Judgeship Number 5 Southeast Judicial District,,,Daniel D Narum,4686
Barnes,Justice of the Supreme Court,,,Mary Maring,4797
Barnes,Justice of the Supreme Court Unexpired 4-year term,,,Daniel J Crothers,4680
Barnes,President and Vice President,,,BALDWIN and CASTLE,47
Barnes,President and Vice President,,,BARR and ROOT,14
Barnes,President and Vice President,,,MCCAIN and PALIN,2826
Barnes,President and Vice President,,,NADER and CAMEJO,66
Barnes,President and Vice President,,,OBAMA and BIDEN,2741
Barnes,Public Service Commissioner,,DEM,Cheryl Bergian,2794
Barnes,Public Service Commissioner,,REP,Brian Kalk,2630
Barnes,S 2: State corporate and state income tax rates,,,No,4330
Barnes,S 2: State corporate and state income tax rates,,,Yes,1222
Barnes,S 3: Tobacco use prevention and control program,,,No,2208
Barnes,S 3: Tobacco use prevention and control program,,,Yes,3311
Barnes,S 4: Workforce Safety and Insurance agency administration regulation,,,No,1755
Barnes,S 4: Workforce Safety and Insurance agency administration regulation,,,Yes,3567
Barnes,State Auditor,,DEM,Daryl Splichal,2119
Barnes,State Auditor,,REP,Robert R (Bob) Peterson,3276
Barnes,State House Legislative,20,,"Larry O""Brien",381
Barnes,State House Legislative,20,DEM,Lee Kaldor,324
Barnes,State House Legislative,20,DEM,Richard G (Rick) Holman,300
Barnes,State House Legislative,20,REP,Jacob Holm,536
Barnes,State House Legislative,24,DEM,Phil Mueller,2822
Barnes,State House Legislative,24,DEM,Ralph Metcalf,2720
Barnes,State House Legislative,24,REP,Dwight Kiefert,1573
Barnes,State House Legislative,24,REP,Jon Wagar,1760
Barnes,State Senate Legislative District 20,,DEM,Elroy N Lindaas,396
Barnes,State Senate Legislative District 20,,REP,Martin Johnson,455
Barnes,State Senate Legislative District 24,,DEM,Larry Robinson,2824
Barnes,State Senate Legislative District 24,,REP,Dwight Grotberg,1904
Barnes,State Treasurer,,DEM,Mitch Vance,2102
Barnes,State Treasurer,,REP,Kelly L Schmidt,3262
Barnes,Superintendent of Public Instruction,,,Max L Laird,2337
Barnes,Superintendent of Public Instruction,,,Wayne G Sanstead,2941
Barnes,U.S. House,1,DEM,Earl Pomeroy,3782
Barnes,U.S. House,1,REP,Duane Sand,1930
Benson,C 1: Oil tax trust fund,,,No,1540
Benson,C 1: Oil tax trust fund,,,Yes,697
Benson,Governor and Lt. Governor,,,DuWayne Hendrickson & Dana Brandenburg,43
Benson,Governor and Lt. Governor,,,John Hoeven & Jack Dalrymple,1470
Benson,Governor and Lt. Governor,,,Tim Mathern & Merle Boucher,847
Benson,Insurance Commissioner,,DEM,Jasper Schneider,1532
Benson,Insurance Commissioner,,REP,Adam Hamm,735
Benson,Judgeship Number 3 Northeast Judicial District,,,Michael G Sturdevant,1887
Benson,Judgeship Number 4 Northeast Judicial District,,,Donovan Foughty,1972
Benson,Justice of the Supreme Court,,,Mary Maring,1965
Benson,Justice of the Supreme Court Unexpired 4-year term,,,Daniel J Crothers,1897
Benson,President and Vice President,,,BALDWIN and CASTLE,6
Benson,President and Vice President,,,BARR and ROOT,5
Benson,President and Vice President,,,MCCAIN and PALIN,773
Benson,President and Vice President,,,NADER and CAMEJO,21
Benson,President and Vice President,,,OBAMA and BIDEN,1569
Benson,Public Service Commissioner,,DEM,Cheryl Bergian,1467
Benson,Public Service Commissioner,,REP,Brian Kalk,767
Benson,S 2: State corporate and state income tax rates,,,No,1649
Benson,S 2: State corporate and state income tax rates,,,Yes,606
Benson,S 3: Tobacco use prevention and control program,,,No,1113
Benson,S 3: Tobacco use prevention and control program,,,Yes,1107
Benson,S 4: Workforce Safety and Insurance agency administration regulation,,,No,813
Benson,S 4: Workforce Safety and Insurance agency administration regulation,,,Yes,1361
Benson,State Auditor,,DEM,Daryl Splichal,1272
Benson,State Auditor,,REP,Robert R (Bob) Peterson,1002
Benson,State Treasurer,,DEM,Mitch Vance,1299
Benson,State Treasurer,,REP,Kelly L Schmidt,953
Benson,Superintendent of Public Instruction,,,Max L Laird,766
Benson,Superintendent of Public Instruction,,,Wayne G Sanstead,1429
Benson,U.S. House,1,DEM,Earl Pomeroy,1792
Benson,U.S. House,1,REP,Duane Sand,548
Billings,C 1: Oil tax trust fund,,,No,296
Billings,C 1: Oil tax trust fund,,,Yes,196
Billings,Governor and Lt. Governor,,,DuWayne Hendrickson & Dana Brandenburg,15
Billings,Governor and Lt. Governor,,,John Hoeven & Jack Dalrymple,424
Billings,Governor and Lt. Governor,,,Tim Mathern & Merle Boucher,70
Billings,Insurance Commissioner,,DEM,Jasper Schneider,163
Billings,Insurance Commissioner,,REP,Adam Hamm,319
Billings,Judgeship Number 4 Southwest Judicial District,,,William A Herauf,416
Billings,Justice of the Supreme Court,,,Mary Maring,415
Billings,Justice of the Supreme Court Unexpired 4-year term,,,Daniel J Crothers,404
Billings,President and Vice President,,,BALDWIN and CASTLE,3
Billings,President and Vice President,,,BARR and ROOT,0
Billings,President and Vice President,,,MCCAIN and PALIN,375
Billings,President and Vice President,,,NADER and CAMEJO,7
Billings,President and Vice President,,,OBAMA and BIDEN,114
Billings,Public Service Commissioner,,DEM,Cheryl Bergian,145
Billings,Public Service Commissioner,,REP,Brian Kalk,337
Billings,S 2: State corporate and state income tax rates,,,No,331
Billings,S 2: State corporate and state income tax rates,,,Yes,151
Billings,S 3: Tobacco use prevention and control program,,,No,280
Billings,S 3: Tobacco use prevention and control program,,,Yes,209
Billings,S 4: Workforce Safety and Insurance agency administration regulation,,,No,198
Billings,S 4: Workforce Safety and Insurance agency administration regulation,,,Yes,280
Billings,State Auditor,,DEM,Daryl Splichal,107
Billings,State Auditor,,REP,Robert R (Bob) Peterson,382
Billings,State Treasurer,,DEM,Mitch Vance,95
Billings,State Treasurer,,REP,Kelly L Schmidt,393
Billings,Superintendent of Public Instruction,,,Max L Laird,222
Billings,Superintendent of Public Instruction,,,Wayne G Sanstead,243
Billings,U.S. House,1,DEM,Earl Pomeroy,200
Billings,U.S. House,1,REP,Duane Sand,302
Bottineau,C 1: Oil tax trust fund,,,No,2244
Bottineau,C 1: Oil tax trust fund,,,Yes,1148
Bottineau,Governor and Lt. Governor,,,DuWayne Hendrickson & Dana Brandenburg,49
Bottineau,Governor and Lt. Governor,,,John Hoeven & Jack Dalrymple,2802
Bottineau,Governor and Lt. Governor,,,Tim Mathern & Merle Boucher,663
Bottineau,Insurance Commissioner,,DEM,Jasper Schneider,1610
Bottineau,Insurance Commissioner,,REP,Adam Hamm,1758
Bottineau,Judgeship Number 3 Northeast Judicial District,,,Michael G Sturdevant,3012
Bottineau,Judgeship Number 4 Northeast Judicial District,,,Donovan Foughty,2851
Bottineau,Justice of the Supreme Court,,,Mary Maring,2929
Bottineau,Justice of the Supreme Court Unexpired 4-year term,,,Daniel J Crothers,2900
Bottineau,President and Vice President,,,BALDWIN and CASTLE,17
Bottineau,President and Vice President,,,BARR and ROOT,13
Bottineau,President and Vice President,,,MCCAIN and PALIN,2059
Bottineau,President and Vice President,,,NADER and CAMEJO,40
Bottineau,President and Vice President,,,OBAMA and BIDEN,1387
Bottineau,Public Service Commissioner,,DEM,Cheryl Bergian,932
Bottineau,Public Service Commissioner,,REP,Brian Kalk,2471
Bottineau,S 2: State corporate and state income tax rates,,,No,2503
Bottineau,S 2: State corporate and state income tax rates,,,Yes,886
Bottineau,S 3: Tobacco use prevention and control program,,,No,1642
Bottineau,S 3: Tobacco use prevention and control program,,,Yes,1726
Bottineau,S 4: Workforce Safety and Insurance agency administration regulation,,,No,1259
Bottineau,S 4: Workforce Safety and Insurance agency administration regulation,,,Yes,2041
Bottineau,State Auditor,,DEM,Daryl Splichal,1064
