county,office,district,party,candidate,votes
Adams,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,304
Adams,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,196
Adams,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,222
Adams,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,340
Adams,Insurance Commissioner,,DEM,Jasper Schneider,217
Adams,Insurance Commissioner,,REP,Adam Hamm,313
Adams,Judgeship Number 4 Southwest Judicial District,,NON,William A Herauf,521
Adams,Justice of the Supreme Court,,NON,Mary Maring,519
Adams,Justice of the Supreme Court Unexpired 4-year term,,NON,Daniel J Crothers,505
Adams,Public Service Commissioner,,DEM,Cheryl Bergian,221
Adams,Public Service Commissioner,,REP,Brian Kalk,314
Adams,State Auditor,,DEM,Daryl Splichal,216
Adams,State Auditor,,REP,Robert R (Bob) Peterson,315
Adams,State Treasurer,,DEM,Mitch Vance,219
Adams,State Treasurer,,REP,Kelly L Schmidt,317
Adams,Superintendent of Public Instruction,,NON,Max L Laird,128
Adams,Superintendent of Public Instruction,,NON,Wayne G Sanstead,450
Adams,U.S. House,1,DEM,Earl Pomeroy,240
Adams,U.S. House,1,REP,Duane Sand,320
Barnes,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,1012
Barnes,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,776
Barnes,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,1129
Barnes,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,891
Barnes,Insurance Commissioner,,DEM,Jasper Schneider,1131
Barnes,Insurance Commissioner,,REP,Adam Hamm,840
Barnes,Judgeship Number 5 Southeast Judicial District,,NON,Daniel D Narum,1687
Barnes,Justice of the Supreme Court,,NON,Mary Maring,1768
Barnes,Justice of the Supreme Court Unexpired 4-year term,,NON,Daniel J Crothers,1679
Barnes,Public Service Commissioner,,DEM,Cheryl Bergian,1146
Barnes,Public Service Commissioner,,REP,Brian Kalk,828
Barnes,State Auditor,,DEM,Daryl Splichal,1125
Barnes,State Auditor,,REP,Robert R (Bob) Peterson,843
Barnes,State House Legislative,20,DEM,Lee Kaldor,113
Barnes,State House Legislative,20,DEM,Richard G (Rick) Holman,112
Barnes,State House Legislative,20,REP,Jacob Holm,109
Barnes,State House Legislative,20,REP,"Larry O""Brien",94
Barnes,State House Legislative,24,DEM,Phil Mueller,1046
Barnes,State House Legislative,24,DEM,Ralph Metcalf,1078
Barnes,State House Legislative,24,REP,Dwight Kiefert,617
Barnes,State House Legislative,24,REP,Jon Wagar,587
Barnes,State Senate Legislative District 20,,DEM,Elroy N Lindaas,129
Barnes,State Senate Legislative District 20,,REP,Martin Johnson,114
Barnes,State Senate Legislative District 24,,DEM,Larry Robinson,1100
Barnes,State Senate Legislative District 24,,REP,Dwight Grotberg,715
Barnes,State Treasurer,,DEM,Mitch Vance,1122
Barnes,State Treasurer,,REP,Kelly L Schmidt,838
Barnes,Superintendent of Public Instruction,,NON,Max L Laird,520
Barnes,Superintendent of Public Instruction,,NON,Wayne G Sanstead,1397
Barnes,U.S. House,1,DEM,Earl Pomeroy,1260
Barnes,U.S. House,1,REP,Duane Sand,865
Benson,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,231
Benson,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,206
Benson,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,252
Benson,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,223
Benson,Insurance Commissioner,,DEM,Jasper Schneider,256
Benson,Insurance Commissioner,,REP,Adam Hamm,214
Benson,Judgeship Number 3 Northeast Judicial District,,NON,Michael G Sturdevant,372
Benson,Judgeship Number 4 Northeast Judicial District,,NON,Donovan Foughty,394
Benson,Justice of the Supreme Court,,NON,Mary Maring,398
Benson,Justice of the Supreme Court Unexpired 4-year term,,NON,Daniel J Crothers,377
Benson,Public Service Commissioner,,DEM,Cheryl Bergian,256
Benson,Public Service Commissioner,,REP,Brian Kalk,212
Benson,State Auditor,,DEM,Daryl Splichal,254
Benson,State Auditor,,REP,Robert R (Bob) Peterson,214
Benson,State Treasurer,,DEM,Mitch Vance,258
Benson,State Treasurer,,REP,Kelly L Schmidt,213
Benson,Superintendent of Public Instruction,,NON,Max L Laird,121
Benson,Superintendent of Public Instruction,,NON,Wayne G Sanstead,321
Benson,U.S. House,1,DEM,Earl Pomeroy,289
Benson,U.S. House,1,REP,Duane Sand,214
Billings,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,91
Billings,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,43
Billings,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,28
Billings,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,113
Billings,Insurance Commissioner,,DEM,Jasper Schneider,27
Billings,Insurance Commissioner,,REP,Adam Hamm,107
Billings,Judgeship Number 4 Southwest Judicial District,,NON,William A Herauf,120
Billings,Justice of the Supreme Court,,NON,Mary Maring,121
Billings,Justice of the Supreme Court Unexpired 4-year term,,NON,Daniel J Crothers,118
Billings,Public Service Commissioner,,DEM,Cheryl Bergian,27
Billings,Public Service Commissioner,,REP,Brian Kalk,107
Billings,State Auditor,,DEM,Daryl Splichal,28
Billings,State Auditor,,REP,Robert R (Bob) Peterson,110
Billings,State Treasurer,,DEM,Mitch Vance,28
Billings,State Treasurer,,REP,Kelly L Schmidt,108
Billings,Superintendent of Public Instruction,,NON,Max L Laird,42
Billings,Superintendent of Public Instruction,,NON,Wayne G Sanstead,91
Billings,U.S. House,1,DEM,Earl Pomeroy,30
Billings,U.S. House,1,REP,Duane Sand,112
Bottineau,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,463
Bottineau,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,288
Bottineau,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,390
Bottineau,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,450
Bottineau,Insurance Commissioner,,DEM,Jasper Schneider,378
Bottineau,Insurance Commissioner,,REP,Adam Hamm,406
Bottineau,Judgeship Number 3 Northeast Judicial District,,NON,Michael G Sturdevant,755
Bottineau,Judgeship Number 4 Northeast Judicial District,,NON,Donovan Foughty,682
Bottineau,Justice of the Supreme Court,,NON,Mary Maring,715
Bottineau,Justice of the Supreme Court Unexpired 4-year term,,NON,Daniel J Crothers,684
Bottineau,Public Service Commissioner,,DEM,Cheryl Bergian,377
Bottineau,Public Service Commissioner,,REP,Brian Kalk,434
Bottineau,State Auditor,,DEM,Daryl Splichal,377
Bottineau,State Auditor,,REP,Robert R (Bob) Peterson,430
Bottineau,State House Legislative,6,DEM,Bob Hunskor,424
Bottineau,State House Legislative,6,DEM,Christine Peterson,343
Bottineau,State House Legislative,6,REP,Glen Froseth,400
Bottineau,State House Legislative,6,REP,Roger Slotsve,341
Bottineau,State Senate Legislative District 6,,DEM,"David Paul O""Connell",434
Bottineau,State Senate Legislative District 6,,REP,James Paul Bartlett,363
Bottineau,State Treasurer,,DEM,Mitch Vance,381
Bottineau,State Treasurer,,REP,Kelly L Schmidt,418
Bottineau,Superintendent of Public Instruction,,NON,Max L Laird,296
Bottineau,Superintendent of Public Instruction,,NON,Wayne G Sanstead,497
Bottineau,U.S. House,1,DEM,Earl Pomeroy,437
Bottineau,U.S. House,1,REP,Duane Sand,426
Bowman,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,235
Bowman,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,185
Bowman,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,151
Bowman,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,304
Bowman,Insurance Commissioner,,DEM,Jasper Schneider,150
Bowman,Insurance Commissioner,,REP,Adam Hamm,286
Bowman,Judgeship Number 4 Southwest Judicial District,,NON,William A Herauf,392
Bowman,Justice of the Supreme Court,,NON,Mary Maring,401
Bowman,Justice of the Supreme Court Unexpired 4-year term,,NON,Daniel J Crothers,387
Bowman,Public Service Commissioner,,DEM,Cheryl Bergian,150
Bowman,Public Service Commissioner,,REP,Brian Kalk,283
Bowman,State Auditor,,DEM,Daryl Splichal,153
Bowman,State Auditor,,REP,Robert R (Bob) Peterson,288
Bowman,State Treasurer,,DEM,Mitch Vance,153
Bowman,State Treasurer,,REP,Kelly L Schmidt,285
Bowman,Superintendent of Public Instruction,,NON,Max L Laird,129
Bowman,Superintendent of Public Instruction,,NON,Wayne G Sanstead,314
Bowman,U.S. House,1,DEM,Earl Pomeroy,165
Bowman,U.S. House,1,REP,Duane Sand,293
Burke,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,156
Burke,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,111
Burke,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,122
Burke,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,208
Burke,Insurance Commissioner,,DEM,Jasper Schneider,126
Burke,Insurance Commissioner,,REP,Adam Hamm,182
Burke,Judgeship Number 2 Northwest Judicial District,,NON,Doug Mattson,287
Burke,Judgeship Number 5 Northwest Judicial District,,NON,David W Nelson,196
Burke,Judgeship Number 5 Northwest Judicial District,,NON,Jeffrey L Sheets,100
Burke,Justice of the Supreme Court,,NON,Mary Maring,275
Burke,Justice of the Supreme Court Unexpired 4-year term,,NON,Daniel J Crothers,270
Burke,Public Service Commissioner,,DEM,Cheryl Bergian,130
Burke,Public Service Commissioner,,REP,Brian Kalk,183
Burke,State Auditor,,DEM,Daryl Splichal,127
Burke,State Auditor,,REP,Robert R (Bob) Peterson,190
Burke,State House Legislative,2,DEM,Cecile Wehrman,110
Burke,State House Legislative,2,DEM,Lynn Jacobson,127
Burke,State House Legislative,2,REP,Bob Skarphol,179
Burke,State House Legislative,2,REP,David S Rust,164
Burke,State Senate Legislative District 2,,DEM,Dorvan Solberg,130
Burke,State Senate Legislative District 2,,REP,John Andrist,193
Burke,State Treasurer,,DEM,Mitch Vance,129
Burke,State Treasurer,,REP,Kelly L Schmidt,183
Burke,Superintendent of Public Instruction,,NON,Max L Laird,132
Burke,Superintendent of Public Instruction,,NON,Wayne G Sanstead,184
Burke,U.S. House,1,DEM,Earl Pomeroy,143
Burke,U.S. House,1,REP,Duane Sand,191
Burleigh,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,No,4599
Burleigh,C 1: Remove prohibition on appointing a member of the leg assembly to an office the compensation was increased by the leg assembly during the member's term,,,Yes,3238
Burleigh,Governor and Lt. Governor,,DEM,Tim Mathern & Merle Boucher,2683
Burleigh,Governor and Lt. Governor,,REP,John Hoeven & Jack Dalrymple,4904
Burleigh,Insurance Commissioner,,DEM,Jasper Schneider,2623
Burleigh,Insurance Commissioner,,LIB,Dani Graten,0
Burleigh,Insurance Commissioner,,LIB,Greg Gunderson,0
Burleigh,Insurance Commissioner,,LIB,Jason Huus,0
Burleigh,Insurance Commissioner,,LIB,Jay Fettig,0
Burleigh,Insurance Commissioner,,LIB,Mel Stone,0
Burleigh,Insurance Commissioner,,LIB,Ryan Zudow,0
Burleigh,Insurance Commissioner,,LIB,Stephen Disrud,0
Burleigh,Insurance Commissioner,,LIB,Tony Gudajtes,0
Burleigh,Insurance Commissioner,,REP,Adam Hamm,4615
Burleigh,Insurance Commissioner Constitution,,CON,Doug Goehring,1
Burleigh,Insurance Commissioner Constitution,,CON,Jody Wright,0
Burleigh,Insurance Commissioner Constitution,,CON,Karn Jameson,0
Burleigh,Insurance Commissioner Constitution,,CON,Norval Lee,0
Burleigh,Insurance Commissioner Constitution,,CON,Peter Crary,0
Burleigh,Insurance Commissioner Constitution,,CON,Ralph Muecke,0
Burleigh,Judgeship Number 1 South Central Judicial District,,NON,David Reich,6596
