county,office,district,party,candidate,votes
Adams,Agriculture Commissioner,,DEM,Vern Thompson,94
Adams,Agriculture Commissioner,,DEM,write-in,0
Adams,Agriculture Commissioner,,REP,Doug Goehring,347
Adams,Agriculture Commissioner,,REP,write-in,1
Adams,Attorney General,,DEM,Tim Lamb,94
Adams,Attorney General,,DEM,write-in,0
Adams,Attorney General,,REP,Drew Wrigley,347
Adams,Attorney General,,REP,write-in,1
Adams,Constitutional Measure No. 1 relating to constitutional amendments be comprised of a single subject,,,No,107
Adams,Constitutional Measure No. 1 relating to constitutional amendments be comprised of a single subject,,,Yes,371
Adams,Council Member Bucyrus,,,Meda Ruth Warbis,5
Adams,Council Member Bucyrus,,,write-in,0
Adams,Council Member Haynes,,,Loretta Maria Wagner Kuntz,4
Adams,Council Member Haynes,,,Nicolas Allan Wagner,4
Adams,Council Member Haynes,,,write-in,0
Adams,Council Member Hettinger,,,Carl Alan Ebert,206
Adams,Council Member Hettinger,,,Randy Kyle Burwick,200
Adams,Council Member Hettinger,,,write-in,5
Adams,Council Member Reeder City,,,Dayne Robert Green,25
Adams,Council Member Reeder City,,,William G Socwell,34
Adams,Council Member Reeder City,,,write-in,5
Adams,County Auditor/Treasurer Adams,,,Krista Ann Faller,474
Adams,County Auditor/Treasurer Adams,,,write-in,0
Adams,County Commissioner Adams,,,Damon M Mellmer,460
Adams,County Commissioner Adams,,,write-in,2
Adams,County Official Newspaper Adams,,,Adams County Record,470
Adams,County Recorder Adams,,,Sheri Dee Uecker,467
Adams,County Recorder Adams,,,write-in,1
Adams,County Sheriff Adams,,,Jordan Edward Fisher,420
Adams,County Sheriff Adams,,,write-in,19
Adams,County State's Attorney Adams,,,Aaron William Roseland,427
Adams,County State's Attorney Adams,,,write-in,6
Adams,Hettinger School District Measure No. 1 Hettinger School,,,No,15
Adams,Hettinger School District Measure No. 1 Hettinger School,,,Yes,408
Adams,Justice of the Supreme Court,,,Ariston E Johnson,160
Adams,Justice of the Supreme Court,,,Jerod Tufte,255
Adams,Justice of the Supreme Court,,,write-in,0
Adams,Justice of the Supreme Court Unexpired 8-Year Term,,,Douglas A Bahr,429
Adams,Justice of the Supreme Court Unexpired 8-Year Term,,,write-in,1
Adams,Mayor Haynes,,,Michael David Steen,4
Adams,Mayor Haynes,,,write-in,0
Adams,Mayor Hettinger,,,David Clayton Parrill,201
Adams,Mayor Hettinger,,,write-in,9
Adams,Park Board Member Hettinger Park,,,Torrey Michael Pekas,195
Adams,Park Board Member Hettinger Park,,,write-in,36
