county,office,district,party,candidate,votes
Adams,Agriculture Commissioner,,,write-in,1
Adams,Agriculture Commissioner,,DEM,Merle Boucher,303
Adams,Agriculture Commissioner,,REP,Doug Goehring,838
Adams,Attorney General,,,write-in,0
Adams,Attorney General,,DEM,Jeanette Boechler,250
Adams,Attorney General,,REP,Wayne Stenehjem,906
Adams,Constitutional No. 1: Oil and Gas Tax Legacy Fund.,,,No,411
Adams,Constitutional No. 1: Oil and Gas Tax Legacy Fund.,,,Yes,694
Adams,County Auditor/Treasurer Adams,,,Patricia (Pat) J Carroll,1103
Adams,County Auditor/Treasurer Adams,,,write-in,8
Adams,County Commissioner Adams,,,Chuck Christman,1085
Adams,County Commissioner Adams,,,write-in,6
Adams,County Commissioner-Unexpired two year term Adams,,,Brad Hofland,350
Adams,County Commissioner-Unexpired two year term Adams,,,Kathy L Vliem,816
Adams,County Commissioner-Unexpired two year term Adams,,,write-in,2
Adams,County Official Newspaper Adams,,,Adams County Record,1067
Adams,County Recorder Adams,,,Ginger Dangerud,1115
Adams,County Recorder Adams,,,write-in,3
Adams,County Sheriff Adams,,,Eugene M Molbert,752
Adams,County Sheriff Adams,,,Randall Raasch,425
Adams,County Sheriff Adams,,,write-in,2
Adams,County States Attorney Adams,,,Aaron Roseland,1008
Adams,County States Attorney Adams,,,write-in,16
Adams,Initiated Statutory No. 2: Relating to Captive Game Hunting.,,,No,674
Adams,Initiated Statutory No. 2: Relating to Captive Game Hunting.,,,Yes,469
Adams,Justice of the Supreme Court,,,Carol Kapsner,995
Adams,Justice of the Supreme Court,,,write-in,4
Adams,Public Service Commissioner,,,write-in,0
Adams,Public Service Commissioner,,DEM,Brad Crabtree,308
Adams,Public Service Commissioner,,LIB,Joshua Voytek,50
Adams,Public Service Commissioner,,REP,Kevin Cramer,790
Adams,Secretary of State,,,write-in,1
Adams,Secretary of State,,DEM,Corey Mock,322
Adams,Secretary of State,,REP,Alvin A (Al) Jaeger,824
Adams,State House,39,,"David ""Skip"" Drovdal",634
Adams,State House,39,,write-in,2
Adams,State House,39,DEM,Aaron Judkins,343
Adams,State House,39,REP,Keith Kempenich,801
Adams,State Senate,39,,write-in,31
Adams,State Senate,39,REP,Bill Bowman,986
Adams,"Supervisor, Soil Conservation District Adams",,,Rob Buckmier,1101
Adams,"Supervisor, Soil Conservation District Adams",,,write-in,7
Adams,Tax Commissioner,,,write-in,2
Adams,Tax Commissioner,,DEM,Cynthia Kaldor,279
Adams,Tax Commissioner,,LIB,Richard Flattum-Riemers,45
Adams,Tax Commissioner,,REP,Cory Fong,816
Adams,U.S. House,1,,write-in,4
Adams,U.S. House,1,DEM,Earl Pomeroy,378
Adams,U.S. House,1,REP,Rick Berg,803
Adams,U.S. Senate,,,write-in,1
Adams,U.S. Senate,,DEM,Tracy Potter,201
Adams,U.S. Senate,,LIB,Keith J Hanson,24
Adams,U.S. Senate,,REP,John Hoeven,963
Barnes,Agriculture Commissioner,,,write-in,2
Barnes,Agriculture Commissioner,,DEM,Merle Boucher,1680
Barnes,Agriculture Commissioner,,REP,Doug Goehring,2959
Barnes,Attorney General,,,write-in,3
Barnes,Attorney General,,DEM,Jeanette Boechler,1403
Barnes,Attorney General,,REP,Wayne Stenehjem,3298
Barnes,Constitutional No. 1: Oil and Gas Tax Legacy Fund.,,,No,1659
Barnes,Constitutional No. 1: Oil and Gas Tax Legacy Fund.,,,Yes,2747
Barnes,County Auditor Barnes,,,Edward R McGough,4175
Barnes,County Auditor Barnes,,,write-in,33
Barnes,County Commissioner Barnes - District 2,,,Dale A Maasjo,438
Barnes,County Commissioner Barnes - District 2,,,Philip J Leitner,504
Barnes,County Commissioner Barnes - District 2,,,write-in,6
Barnes,County Commissioner Barnes - District 3,,,Eldred Knutson,403
Barnes,County Commissioner Barnes - District 3,,,Milton Sauer,317
Barnes,County Commissioner Barnes - District 3,,,write-in,2
Barnes,County Commissioner Barnes - District 4,,,Rodger Berntson,730
Barnes,County Commissioner Barnes - District 4,,,write-in,33
Barnes,County Official Newspaper Barnes,,,Litchville Bulletin,835
Barnes,County Official Newspaper Barnes,,,Valley City Times Record,3775
Barnes,County Recorder Barnes,,,Jody Pfaff,4132
Barnes,County Recorder Barnes,,,write-in,10
Barnes,County Sheriff Barnes,,,Eugene A (Gene) Bjerke,2288
Barnes,County Sheriff Barnes,,,Randy McClaflin,2310
Barnes,County Sheriff Barnes,,,write-in,5
Barnes,County States Attorney Barnes,,,Lee Grossman,4039
Barnes,County States Attorney Barnes,,,write-in,43
Barnes,County Treasurer Barnes,,,Vicki L Zinck,4119
Barnes,County Treasurer Barnes,,,write-in,41
Barnes,Initiated Statutory No. 2: Relating to Captive Game Hunting.,,,No,2462
Barnes,Initiated Statutory No. 2: Relating to Captive Game Hunting.,,,Yes,2136
Barnes,Judge of the District Court No. 2 Southeast,,,Brad Cruff,2506
Barnes,Judge of the District Court No. 2 Southeast,,,John T (Jack) Paulson,2176
Barnes,Judge of the District Court No. 2 Southeast,,,write-in,4
Barnes,Judge of the District Court No. 5 Southeast,,,Daniel D Narum,3918
Barnes,Judge of the District Court No. 5 Southeast,,,write-in,12
Barnes,Justice of the Supreme Court,,,Carol Kapsner,3963
Barnes,Justice of the Supreme Court,,,write-in,15
Barnes,Public Service Commissioner,,,write-in,2
Barnes,Public Service Commissioner,,DEM,Brad Crabtree,1957
Barnes,Public Service Commissioner,,LIB,Joshua Voytek,125
Barnes,Public Service Commissioner,,REP,Kevin Cramer,2575
Barnes,Secretary of State,,,write-in,2
Barnes,Secretary of State,,DEM,Corey Mock,1989
Barnes,Secretary of State,,REP,Alvin A (Al) Jaeger,2672
Barnes,"Supervisor, Soil Conservation District Soil Conservation District",,,Shelly Nelson,3905
Barnes,"Supervisor, Soil Conservation District Soil Conservation District",,,write-in,22
Barnes,Tax Commissioner,,,write-in,1
Barnes,Tax Commissioner,,DEM,Cynthia Kaldor,1642
