county,office,district,party,candidate,votes
Adams,Constitutional Measure No. 1: Relates to the election of county officers.,,,No,305
Adams,Constitutional Measure No. 1: Relates to the election of county officers.,,,Yes,325
Adams,Justice of the Supreme Court,,NON,William A (Bill) Neumann,550
Adams,Public Service Commissioner,,DEM,Bob Stefonowicz,235
Adams,Public Service Commissioner,,REP,Susan Wefald,355
Adams,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,No,419
Adams,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,Yes,202
Adams,State House Legislative,39,DEM,Joe W Griffin,222
Adams,State House Legislative,39,DEM,Keith Farstveet,223
Adams,State House Legislative,39,REP,"David ""Skip"" Drovdal",318
Adams,State House Legislative,39,REP,Keith Kempenich,325
Adams,State Senate Legislative District 39,,REP,Bill L Bowman,345
Adams,U.S. House,1,DEM,Earl Pomeroy,249
Adams,U.S. House,1,REP,Rick Clayburgh,353
Barnes,Constitutional Measure No. 1: Relates to the election of county officers.,,,No,1232
Barnes,Constitutional Measure No. 1: Relates to the election of county officers.,,,Yes,1319
Barnes,Justice of the Supreme Court,,NON,William A (Bill) Neumann,2248
Barnes,Public Service Commissioner,,DEM,Bob Stefonowicz,1144
Barnes,Public Service Commissioner,,REP,Susan Wefald,995
Barnes,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,No,1953
Barnes,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,Yes,732
Barnes,U.S. House,1,DEM,Earl Pomeroy,1284
Barnes,U.S. House,1,REP,Rick Clayburgh,1025
Benson,Constitutional Measure No. 1: Relates to the election of county officers.,,,No,601
Benson,Constitutional Measure No. 1: Relates to the election of county officers.,,,Yes,507
Benson,Justice of the Supreme Court,,NON,William A (Bill) Neumann,1051
Benson,Public Service Commissioner,,DEM,Bob Stefonowicz,626
Benson,Public Service Commissioner,,REP,Susan Wefald,345
Benson,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,No,777
Benson,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,Yes,370
Benson,State House Legislative,23,DEM,Bob Hook,161
Benson,State House Legislative,23,DEM,Darren A Kimmerly,287
Benson,State House Legislative,23,REP,Dale C Severson,107
Benson,State House Legislative,23,REP,William (Bill) Devlin,96
Benson,State House Legislative,7,DEM,Arlo E Schmidt,405
Benson,State House Legislative,7,DEM,Lucille Loftesness,343
Benson,State House Legislative,7,REP,G Jane Gunter,202
Benson,State House Legislative,7,REP,Jon O Nelson,222
Benson,State Senate Legislative District 23,,DEM,Mike Every,281
Benson,State Senate Legislative District 23,,REP,Frank E Walker,108
Benson,State Senate Legislative District 7,,DEM,Ryan M Taylor,371
Benson,State Senate Legislative District 7,,REP,Ken Solberg,235
Benson,U.S. House,1,DEM,Earl Pomeroy,703
Benson,U.S. House,1,REP,Rick Clayburgh,349
Billings,Constitutional Measure No. 1: Relates to the election of county officers.,,,No,260
Billings,Constitutional Measure No. 1: Relates to the election of county officers.,,,Yes,114
Billings,Justice of the Supreme Court,,NON,William A (Bill) Neumann,329
Billings,Public Service Commissioner,,DEM,Bob Stefonowicz,129
Billings,Public Service Commissioner,,REP,Susan Wefald,229
Billings,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,No,324
Billings,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,Yes,55
Billings,State House Legislative,39,DEM,Joe W Griffin,102
Billings,State House Legislative,39,DEM,Keith Farstveet,105
Billings,State House Legislative,39,REP,"David ""Skip"" Drovdal",197
Billings,State House Legislative,39,REP,Keith Kempenich,202
Billings,State Senate Legislative District 39,,REP,Bill L Bowman,238
Billings,U.S. House,1,DEM,Earl Pomeroy,132
Billings,U.S. House,1,REP,Rick Clayburgh,236
Bottineau,Constitutional Measure No. 1: Relates to the election of county officers.,,,No,793
Bottineau,Constitutional Measure No. 1: Relates to the election of county officers.,,,Yes,646
Bottineau,Justice of the Supreme Court,,NON,William A (Bill) Neumann,1359
Bottineau,Public Service Commissioner,,DEM,Bob Stefonowicz,660
Bottineau,Public Service Commissioner,,REP,Susan Wefald,700
Bottineau,Referred Measure No. 2: Disclosure of financial information by financial institutions.,,,No,1171
